"id","cpf","created_at","updated_at"
447839,"00000000000",2023-07-30 10:27:47.571,2023-07-30 10:27:47.571
163134,"11111111111",2023-07-30 10:27:47.574,2023-07-30 10:27:47.574
447843,"22222222222",2023-07-30 10:27:47.575,2023-07-30 10:27:47.575
118568,"33333333333",2023-07-30 10:27:47.576,2023-07-30 10:27:47.576
447851,"44444444444",2023-07-30 10:27:47.578,2023-07-30 10:27:47.578
74100,"55555555555",2023-07-30 10:27:47.579,2023-07-30 10:27:47.579
447855,"66666666666",2023-07-30 10:27:47.580,2023-07-30 10:27:47.580
447862,"77777777777",2023-07-30 10:27:47.582,2023-07-30 10:27:47.582
447868,"88888888888",2023-07-30 10:27:47.583,2023-07-30 10:27:47.583
147550,"99999999999",2023-07-30 10:27:47.585,2023-07-30 10:27:47.585
